AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
Saunders, MA;Earth's future climate;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;11;1999;357;1763;3459;3480;https://doi.org/10.1098/rsta.1999.0503
"Esplin, ED; Marlon, JR; Leiserowitz, A; Howe, PD";"Can You Take the Heat?"" Heat-Induced Health Symptoms Are Associated with Protective Behaviors	WEATHER CLIMATE AND SOCIETY	0	2019	11	2	401	417	10.1175/WCAS-D-18-0035.1";;;;;;;;https://doi.org/
"Ager, AA; Lasko, R; Myroniuk, V; Zibtsev, S; Day, MA; Usenia, U; Bogomolov, V; Kovalets, I; Evers, CR";The wildfire problem in areas contaminated by the Chernobyl disaster;SCIENCE OF THE TOTAL ENVIRONMENT;0;2019;696;;;;https://doi.org/10.1016/j.scitotenv.2019.133954
"Grant, SB; Litton-Mueller, RM; Ahn, JH";Measuring and modeling the flux of fecal bacteria across the sediment-water interface in a turbulent stream;WATER RESOURCES RESEARCH;38;2011;47;;;;https://doi.org/10.1029/2010WR009460
"Tessler, ZD; Vorosmarty, CJ; Grossberg, M; Gladkova, I; Aizenman, H; Syvitski, JPM; Foufoula-Georgiou, E";Profiling risk and sustainability in coastal deltas of the world;SCIENCE;139;2015;349;6248;638;643;https://doi.org/10.1126/science.aab3574
"Haaland, TR; Wright, J; Ratikainen, II";Bet-hedging across generations can affect the evolution of variance-sensitive strategies within generations;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;0;2019;286;1916;;;https://doi.org/10.1098/rspb.2019.2070
"Mancini, L; Gaudi, S; Figliomeni, M; Iacobini, V; Volpi, E; Marcheggiani, S";EXTREME EVENTS AND HEALTH: AN ITALIAN PILOT STUDY;FRESENIUS ENVIRONMENTAL BULLETIN;0;2019;28;6;4979;4983;https://doi.org/
"Baldwin, JW; Dessy, JB; Vecchi, GA; Oppenheimer, M";Temporally Compound Heat Wave Events and Global Warming: An Emerging Hazard;EARTHS FUTURE;3;2019;7;4;411;427;https://doi.org/10.1029/2018EF000989
Fritz, M;Nature-Based Solutions to Climate Change Adaptation in Urban Areas-Linkages Between Science, Policy and Practice;NATURE-BASED SOLUTIONS TO CLIMATE CHANGE ADAPTATION IN URBAN AREAS: LINKAGES BETWEEN SCIENCE, POLICY AND PRACTICE;4;2017;;;1;11;https://doi.org/10.1007/978-3-319-56091-5_1
"Wu, SF; Zhang, X; She, DX";Joint pattern of seasonal hydrological droughts and floods alternation in China's Huai River Basin using the multivariate L-moments;JOURNAL OF EARTH SYSTEM SCIENCE;3;2017;126;4;;;https://doi.org/10.1007/s12040-017-0824-0
"Singh, D; Ghosh, S; Roxy, MK; McDermid, S";Indian summer monsoon: Extreme events, historical changes, and role of anthropogenic forcings;WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE;2;2019;10;2;;;https://doi.org/10.1002/wcc.571
"Hu, P; Zhang, Q; Shi, PJ; Chen, B; Fang, JY";Flood-induced mortality across the globe: Spatiotemporal pattern and influencing factors;SCIENCE OF THE TOTAL ENVIRONMENT;13;2018;643;;171;182;https://doi.org/10.1016/j.scitotenv.2018.06.197
"Kim, TW; Valdes, JB";Nonlinear model for drought forecasting based on a conjunction of wavelet transforms and neural networks;JOURNAL OF HYDROLOGIC ENGINEERING;233;2003;8;6;319;328;https://doi.org/10.1061/(ASCE)1084-0699(2003)8:6(319)
"Gray, CL; Mueller, V";Natural disasters and population mobility in Bangladesh;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;160;2012;109;16;6000;6005;https://doi.org/10.1073/pnas.1115944109
Whitington, J;Fingerprint, bellwether, model event: Climate change as speculative anthropology;ANTHROPOLOGICAL THEORY;12;2013;13;4;308;328;https://doi.org/10.1177/1463499613509992
"Sung, TI; Wu, PC; Lung, SC; Lin, CY; Chen, MJ; Su, HJ";Relationship between heat index and mortality of 6 major cities in Taiwan;SCIENCE OF THE TOTAL ENVIRONMENT;18;2013;442;;275;281;https://doi.org/10.1016/j.scitotenv.2012.09.068
"Christidis, N; Jones, GS; Stott, PA";Dramatically increasing chance of extremely hot summers since the 2003 European heatwave;NATURE CLIMATE CHANGE;152;2015;5;1;46;50;https://doi.org/10.1038/NCLIMATE2468
"Marra, DM; Higuchi, N; Trumbore, SE; Ribeiro, GHPM; dos Santos, J; Carneiro, VMC; Lima, AJN; Chambers, JQ; Negron-Juarez, RI; Holzwarth, F; Reu, B; Wirth, C";Predicting biomass of hyperdiverse and structurally complex central Amazonian forests - a virtual approach using extensive field data;BIOGEOSCIENCES;9;2016;13;5;1553;1570;https://doi.org/10.5194/bg-13-1553-2016
"Haque, U; da Silva, PF; Devoli, G; Pilz, J; Zhao, BX; Khaloua, A; Wilopo, W; Andersen, P; Lu, P; Lee, J; Yamamoto, T; Keellings, D; Wu, JH; Glass, GE";The human cost of global warming: Deadly landslides and their triggers (1995-2014);SCIENCE OF THE TOTAL ENVIRONMENT;4;2019;682;;673;684;https://doi.org/10.1016/j.scitotenv.2019.03.415
Nesbitt, J;El Nino and second-millennium BC monument building at Huaca Cortada (Moche Valley, Peru);ANTIQUITY;3;2016;90;351;638;653;https://doi.org/10.15184/aqy.2016.70
"Zuzani, PN; Ngongondo, CS; Mwale, FD; Willems, P";Examining trends of hydro-meteorological extremes in the Shire River Basin in Malawi;PHYSICS AND CHEMISTRY OF THE EARTH;1;2019;112;;91;102;https://doi.org/10.1016/j.pce.2019.02.007
"Mayewski, PA; Sneed, SB; Birkel, SD; Kurbatov, AV; Maasch, KA";Holocene warming marked by abrupt onset of longer summers and reduced storm frequency around Greenland;JOURNAL OF QUATERNARY SCIENCE;17;2014;29;1;99;104;https://doi.org/10.1002/jqs.2684
"Richts, A; Vrba, J";Groundwater resources and hydroclimatic extremes: mapping global groundwater vulnerability to floods and droughts;ENVIRONMENTAL EARTH SCIENCES;2;2016;75;10;;;https://doi.org/10.1007/s12665-016-5632-3
"Wright, DK; Darling, JA; Lewis, BV; Fertelmes, CM; Loendorf, C; Williams, L; Woodson, MK";The Anthropology of Dust: Community Responses to Wind-Blown Sediments within the Middle Gila River Valley, Arizona;HUMAN ECOLOGY;1;2013;41;3;423;435;https://doi.org/10.1007/s10745-013-9583-y
"Pargeter, J; Loftus, E; Mitchell, P";New ages from Sehonghong rock shelter: Implications for the late Pleistocene occupation of highland Lesotho;JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS;12;2017;12;;307;315;https://doi.org/10.1016/j.jasrep.2017.01.027
Webersik, C;Climate-induced migration and conflict: what are the links?;CLIMATE CHANGE AND HUMAN MOBILITY: GLOBAL CHALLENGES TO THE SOCIAL SCIENCES;2;2012;;;147;166;https://doi.org/
"Thieken, AH; Bessel, T; Kienzler, S; Kreibich, H; Muller, M; Pisi, S; Schroter, K";The flood of June 2013 in Germany: how much do we know about its impacts?;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;39;2016;16;6;1519;1540;https://doi.org/10.5194/nhess-16-1519-2016
"Vanos, JK; Cakmak, S; Kalkstein, LS; Yagouti, A";Association of weather and air pollution interactions on daily mortality in 12 Canadian cities;AIR QUALITY ATMOSPHERE AND HEALTH;29;2015;8;3;307;320;https://doi.org/10.1007/s11869-014-0266-7
"Barber, RT; Hilting, AK; Hayes, ML";The changing health of coral reefs;HUMAN AND ECOLOGICAL RISK ASSESSMENT;18;2001;7;5;1255;1270;https://doi.org/10.1080/20018091094989
"Finsinger, W; Tinner, W";Pollen and plant macrofossils at Lac de Fully (2135 m a.s.l.): Holocene forest dynamics on a highland plateau in the Valais, Switzerland;HOLOCENE;28;2007;17;8;1119;1127;https://doi.org/10.1177/0959683607082552
"Stain, HJ; Kelly, B; Carr, VJ; Lewin, TJ; Fitzgerald, M; Fragar, L";The psychological impact of chronic environmental adversity: Responding to prolonged drought;SOCIAL SCIENCE & MEDICINE;41;2011;73;11;1593;1599;https://doi.org/10.1016/j.socscimed.2011.09.016
"Vergari, F; Della Seta, M; Del Monte, M; Fredi, P; Palmieri, EL";Long- and short-term evolution of several Mediterranean denudation hot spots: The role of rainfall variations and human impact;GEOMORPHOLOGY;22;2013;183;;14;27;https://doi.org/10.1016/j.geomorph.2012.08.002
"Smillie, CS; Smith, MB; Friedman, J; Cordero, OX; David, LA; Alm, EJ";Ecology drives a global network of gene exchange connecting the human microbiome;NATURE;360;2011;480;7376;241;244;https://doi.org/10.1038/nature10571
"Kelly, RL; Surovell, TA; Shuman, BN; Smith, GM";A continuous climatic impact on Holocene human population in the Rocky Mountains;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;61;2013;110;2;443;447;https://doi.org/10.1073/pnas.1201341110
"Sizling, AL; Pokorny, P; Jurickova, L; Horackova, J; Abraham, V; Sizlingova, E; Lozek, V; Tjorve, E; Tjorve, KMC; Kunin, W";Can people change the ecological rules that appear general across space?;GLOBAL ECOLOGY AND BIOGEOGRAPHY;6;2016;25;9;1072;1084;https://doi.org/10.1111/geb.12467
Scoon, RN;Late Pleistocene Ice Ages and the Holocene Epoch;GEOLOGY OF NATIONAL PARKS OF CENTRAL/SOUTHERN KENYA AND NORTHERN TANZANIA: GEOTOURISM OF THE GREGORY RIFT VALLEY, ACTIVE VOLCANISM AND REGIONAL PLATEAUS;0;2018;;;59;66;https://doi.org/10.1007/978-3-319-73785-0_6
"Dash, P; Punia, M";Governance and disaster: Analysis of land use policy with reference to Uttarakhand flood 2013, India;INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;0;2019;36;;;;https://doi.org/10.1016/j.ijdrr.2019.101090
"Porter, EM; Bowman, WD; Clark, CM; Compton, JE; Pardo, LH; Soong, JL";Interactive effects of anthropogenic nitrogen enrichment and climate change on terrestrial and aquatic biodiversity;BIOGEOCHEMISTRY;51;2013;114;03. Jan;93;120;https://doi.org/10.1007/s10533-012-9803-3
"O'Hare, G; Johnson, A; Pope, R";Current shifts in abrupt climate change: The stability of the North Atlantic conveyor and its influence on future climate;GEOGRAPHY;4;2005;90;;250;266;https://doi.org/
"Yuan, X; Wang, LY; Wu, PL; Ji, P; Sheffield, J; Zhang, M";Anthropogenic shift towards higher risk of flash drought over China;NATURE COMMUNICATIONS;0;2019;10;;;;https://doi.org/10.1038/s41467-019-12692-7
"Gaslikova, L; Grabemann, I; Groll, N";Changes in North Sea storm surge conditions for four transient future climate realizations;NATURAL HAZARDS;28;2013;66;3;1501;1518;https://doi.org/10.1007/s11069-012-0279-1
"Fox, T; Pope, M; Ellis, EC";Engineering the Anthropocene: Scalable social networks and resilience building in human evolutionary timescales;ANTHROPOCENE REVIEW;5;2017;4;3;199;215;https://doi.org/10.1177/2053019617742415
"Bahr, KD; Jokiel, PL; Toonen, RJ";The unnatural history of Kaneohe Bay: coral reef resilience in the face of centuries of anthropogenic impacts;PEERJ;37;2015;3;;;;https://doi.org/10.7717/peerj.950
"Wu, JD; He, X; Li, Y; Shi, PJ; Ye, T; Li, N";How earthquake-induced direct economic losses change with earthquake magnitude, asset value, residential building structural type and physical environment: An elasticity perspective;JOURNAL OF ENVIRONMENTAL MANAGEMENT;1;2019;231;;321;328;https://doi.org/10.1016/j.jenvman.2018.10.050
"Wang, AJ; Kawser, A; Xu, YH; Ye, X; Rani, S; Chen, KL";Heavy metal accumulation during the last 30 years in the Karnaphuli River estuary, Chittagong, Bangladesh;SPRINGERPLUS;7;2016;5;;;;https://doi.org/10.1186/s40064-016-3749-1
"Justic, D; Turner, RE; Rabalais, NN";Climatic influences on riverine nitrate flux: Implications for coastal marine eutrophication and hypoxia;ESTUARIES;69;2003;26;1;1;11;https://doi.org/10.1007/BF02691688
Steffen, W;Observed trends in Earth System behavior;WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE;8;2010;1;3;428;449;https://doi.org/10.1002/wcc.36
Smoyer, KE;Putting risk in its place: Methodological considerations for investigating extreme event health risk;SOCIAL SCIENCE & MEDICINE;88;1998;47;11;1809;1824;https://doi.org/10.1016/S0277-9536(98)00237-8
"Quinn, T; Bousquet, F; Guerbois, C; Sougrati, E; Tabutaud, M";The dynamic relationship between sense of place and risk perception in landscapes of mobility;ECOLOGY AND SOCIETY;3;2018;23;2;;;https://doi.org/10.5751/ES-10004-230239
"Schoenfeld, MA; Tempelmann, C; Martinez, A; Hopf, JM; Sattler, C; Heinze, HJ; Hillyard, SA";Dynamics of feature binding during object-selective attention;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;110;2003;100;20;11806;11811;https://doi.org/10.1073/pnas.1932820100
Williams, MAJ;Human Impact on the Nile Basin: Past, Present, Future;NILE: ORIGIN, ENVIRONMENTS, LIMNOLOGY AND HUMAN USE;6;2009;89;;771;779;https://doi.org/
"Ghirardi, L; Bisoffi, G; Mirandola, R; Ricci, G; Baccini, M";The Impact of Heat on an Emergency Department in Italy: Attributable Visits among Children, Adults, and the Elderly during the Warm Season;PLOS ONE;4;2015;10;10;;;https://doi.org/10.1371/journal.pone.0141054
Parasiewicz, P;Using MesoHABSIM to develop reference habitat template and ecological management scenarios;RIVER RESEARCH AND APPLICATIONS;28;2007;23;8;924;932;https://doi.org/10.1002/rra.1044
"Moreno-Casasola, P; Silva, R; Martinez, ML; Lithgow, D; Mendoza, E; Martinez-Martinez, RE; Espejel, I; Vazquez, G; Lopez-Portillo, J";Interdisciplinary Criteria and Indicators to Identify Priorities for Beach and Dune Management;BEACH MANAGEMENT TOOLS - CONCEPTS, METHODOLOGIES AND CASE STUDIES;0;2018;24;;635;657;https://doi.org/10.1007/978-3-319-58304-4_32
"Tian, P; Zhai, JQ; Zhao, GJ; Mu, XM";Dynamics of Runoff and Suspended Sediment Transport in a Highly Erodible Catchment on the Chinese Loess Plateau;LAND DEGRADATION & DEVELOPMENT;32;2016;27;3;839;850;https://doi.org/10.1002/ldr.2373
"Aswani, S; van Putten, I; Minarro, S";Environmental and social recovery asymmetries to large-scale disturbances in small island communities;NATURAL HAZARDS;5;2017;86;1;241;262;https://doi.org/10.1007/s11069-016-2685-2
Christy, JR;Examination of Extreme Rainfall Events in Two Regions of the United States since the 19th Century;AIMS ENVIRONMENTAL SCIENCE;1;2019;6;2;109;126;https://doi.org/10.3934/environsci.2019.2.109
"Sengul, H; Santella, N; Steinberg, LJ; Cruz, AM";Analysis of hazardous material releases due to natural hazards in the United States;DISASTERS;23;2012;36;4;723;743;https://doi.org/10.1111/j.1467-7717.2012.01272.x
"Chen, WT; Du, K; He, SP";Genetic structure and historical demography of Schizothorax nukiangensis (Cyprinidae) in continuous habitat;ECOLOGY AND EVOLUTION;8;2015;5;4;984;995;https://doi.org/10.1002/ece3.1413
"Wang, JH; Jiang, D; Huang, YH; Wang, H";Drought Analysis of the Haihe River Basin Based on GRACE Terrestrial Water Storage;SCIENTIFIC WORLD JOURNAL;4;2014;;;;;https://doi.org/10.1155/2014/578372
"Fedele, FG; Giaccio, B; Isaia, R; Orsi, G";Ecosystem impact of the Campanian Ignimbrite eruption in Late Pleistocene Europe;QUATERNARY RESEARCH;40;2002;57;3;420;424;https://doi.org/10.1006/qres.2002.2331
Modarres, R;Streamflow drought time series forecasting;STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT;90;2007;21;3;223;233;https://doi.org/10.1007/s00477-006-0058-1
"Pittman, J; Armitage, D";Network Governance of Land-Sea Social-Ecological Systems in the Lesser Antilles;ECOLOGICAL ECONOMICS;1;2019;157;;61;70;https://doi.org/10.1016/j.ecolecon.2018.10.013
"Rao, DM; Chernyakhovsky, A; Rao, V";Modeling and analysis of global epidemiology of avian influenza;ENVIRONMENTAL MODELLING & SOFTWARE;23;2009;24;1;124;134;https://doi.org/10.1016/j.envsoft.2008.06.011
Oppenheimer, C;Limited global change due to the largest known Quaternary eruption, Toba approximate to 74 kyr BP?;QUATERNARY SCIENCE REVIEWS;115;2002;21;14-15;1593;1609;https://doi.org/10.1016/S0277-3791(01)00154-8
"Banger, K; Tian, HQ; Zhang, BW; Lu, CQ; Ren, W; Tao, B";Biosphere atmosphere exchange of methane in India as influenced by multiple environmental changes during 1901-2010;ATMOSPHERIC ENVIRONMENT;6;2015;119;;192;200;https://doi.org/10.1016/j.atmosenv.2015.06.008
HAQUE, CE;CLIMATIC HAZARDS WARNING PROCESS IN BANGLADESH - EXPERIENCE OF, AND LESSONS FROM, THE 1991 APRIL CYCLONE;ENVIRONMENTAL MANAGEMENT;32;1995;19;5;719;734;https://doi.org/10.1007/BF02471954
"Lal, A; Hashizume, M; Hales, S";Indian Ocean Dipole and Cryptosporidiosis in Australia: Short-Term and Nonlinear Associations;ENVIRONMENTAL SCIENCE & TECHNOLOGY;1;2017;51;14;8119;8127;https://doi.org/10.1021/acs.est.6b05146
"Passmore, DG; Harrison, S; Winchester, V; Rae, A; Severskiy, I; Pimankina, NV";Late Holocene debris flows and valley floor development in the northern Zailiiskiy Alatau, Tien Shan mountains, Kazakhstan;ARCTIC ANTARCTIC AND ALPINE RESEARCH;10;2008;40;3;548;560;"https://doi.org/10.1657/1523-0430(06-078)[PASSMORE]2.0.CO;2"
"Johnson, TC; Kelts, K; Odada, E";The holocene history of Lake Victoria;AMBIO;86;2000;29;1;2;11;"https://doi.org/10.1639/0044-7447(2000)029[0002:THHOLV]2.0.CO;2"
"Macklaim, JM; Gloor, GB; Anukam, KC; Cribby, S; Reid, G";At the crossroads of vaginal health and disease, the genome sequence of Lactobacillus iners AB-1;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;98;2011;108;;4688;4695;https://doi.org/10.1073/pnas.1000086107
"Bugelmayer-Blaschek, M; Roche, DM; Renssen, H; Andrews, JT";Internal ice-sheet variability as source for the multi-century and millennial-scale iceberg events during the Holocene? A model study;QUATERNARY SCIENCE REVIEWS;5;2016;138;;119;130;https://doi.org/10.1016/j.quascirev.2016.01.026
"Zabaleta, A; Antiguedad, I";Temporal variations of suspended sediment transport in three small catchments of the Basque Country;ZEITSCHRIFT FUR GEOMORPHOLOGIE;1;2012;56;;81;98;https://doi.org/10.1127/0372-8854/2012/S-00105
"Mallawaarachchi, RS; Jayasinghe, C";The effects of cyclones, tsunami and earthquakes on built environments and strategies for reduced damage;JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA;0;2008;36;1;3;14;https://doi.org/
"Di Baldassarre, G; Nohrstedt, D; Mard, J; Burchardt, S; Albin, C; Bondesson, S; Breinl, K; Deegan, FM; Fuentes, D; Lopez, MG; Granberg, M; Nyberg, L; Nyman, MR; Rhodes, E; Troll, V; Young, S; Walch, C; Parker, CF";An Integrative Research Framework to Unravel the Interplay of Natural Hazards and Vulnerabilities;EARTHS FUTURE;8;2018;6;3;305;310;https://doi.org/10.1002/2017EF000764
"Zazo, C; Dabrio, CJ; Goy, JL; Lario, J; Cabero, A; Silva, PG; Bardaji, T; Mercier, N; Borja, F; Roquero, E";The coastal archives of the last 15 ka in the Atlantic-Mediterranean Spanish linkage area: Sea level and climate changes;QUATERNARY INTERNATIONAL;67;2008;181;;72;87;https://doi.org/10.1016/j.quaint.2007.05.021
"Cambronero, MC; Beasley, J; Kissane, S; Orsini, L";Evolution of thermal tolerance in multifarious environments;MOLECULAR ECOLOGY;2;2018;27;22;4529;4541;https://doi.org/10.1111/mec.14890
"Li, TT; Horton, RM; Bader, DA; Zhou, MG; Liang, XD; Ban, J; Sun, QH; Kinney, PL";Aging Will Amplify the Heat-related Mortality Risk under a Changing Climate: Projection for the Elderly in Beijing, China;SCIENTIFIC REPORTS;26;2016;6;;;;https://doi.org/10.1038/srep28161
"Andrade, L; O'Malley, K; Hynds, P; O'Neill, E; O'Dwyer, J";Assessment of two behavioural models (HBM and RANAS) for predicting health behaviours in response to environmental threats: Surface water flooding as a source of groundwater contamination and subsequent waterborne infection in the Republic of Ireland;SCIENCE OF THE TOTAL ENVIRONMENT;0;2019;685;;1019;1029;https://doi.org/10.1016/j.scitotenv.2019.06.249
"Zhang, XZ; Li, XX; Chen, DL; Cui, HJ; Ge, QS";Overestimated climate warming and climate variability due to spatially homogeneous CO2 in climate modeling over the Northern Hemisphere since the mid-19th century;SCIENTIFIC REPORTS;0;2019;9;;;;https://doi.org/10.1038/s41598-019-53513-7
"Zhou, JY; Gu, BJ; Schlesinger, WH; Ju, XT";Significant accumulation of nitrate in Chinese semi-humid croplands;SCIENTIFIC REPORTS;80;2016;6;;;;https://doi.org/10.1038/srep25088
"Zhu, XD; Zhang, Q; Sun, P; Singh, VP; Shi, PJ; Song, CQ";Impact of urbanization on hourly precipitation in Beijing, China: Spatiotemporal patterns and causes;GLOBAL AND PLANETARY CHANGE;1;2019;172;;307;324;https://doi.org/10.1016/j.gloplacha.2018.10.018
"Shaw, BJ; Summerhayes, GR; Buckley, HR; Baker, JA";The use of strontium isotopes as an indicator of migration in human and pig Lapita populations in the Bismarck Archipelago, Papua New Guinea;JOURNAL OF ARCHAEOLOGICAL SCIENCE;33;2009;36;4;1079;1091;https://doi.org/10.1016/j.jas.2008.12.010
